760,396
1028,440
1072,540
1308,544
2032,312
2592,428
2764,176
3288,444
3548,516
3640,704
568,484
704,860
1480,860
2040,792
3068,820
632,952
1160,1360
1096,1552
1676,1500
2188,1500
2584,1512
3516,1328
3436,1628
556,1948
632,1992
856,2132
692,2112
3232,2036
3368,2120
3412,2256
3372,2444
3608,2756
3188,2384
3200,2464
3164,2640
3156,2500
2852,2408
2824,2104
2632,2404
2624,2592
2540,2620
2424,2012
2448,2308
2396,2720
2160,2036
2176,2268
2164,2788
1932,2156
1628,2020
1736,2152
1928,2456
1592,2476
1204,2396
1028,2576
1004,2540
808,2428
732,2572
780,2772
516,2784
644,2376
424,552
604,1492
512,1452
492,2072
480,2384
2500,956
2120,1116
1316,212
1192,184
2648,496
2480,1336
2344,1296
2852,1272
3448,1428
3104,1516
3016,1556
2808,1648
2924,1972
3268,2256
2860,2256
2576,1552
2336,1500
2664,1900
2140,1684
2344,2280
3476,2460
3632,2644
1956,2404
1020,516
1052,588
1280,756
1388,892
328,572
716,736
616,688
416,704
368,716
760,864
796,1040
484,1212
660,2048
1828,1000
1708,1040
1580,1076
1460,1112
1328,1152
1192,1184
964,1272
812,1312
672,1348
528,1384
376,1428
2064,1868
1396,1888
1736,1988
1168,2212
1616,2332
1360,2692
1108,2600
852,2692
664,2316
476,2352
500,2452
2296,220
2136,2744
3352,540
3080,632
3136,1032
3180,1220
3060,1188
3144,1360
3308,784
3236,500
3088,324
2964,232
2940,328
2556,668
3040,740
3132,800
2912,784
3012,856
2644,1604
2436,848
2604,292
2344,420
2288,392
2340,500
2332,600
2292,228
3256,1728
3264,2296
2864,1972
1936,2612
2632,2764
1456,2732
1876,2588
2028,2480
2172,2384
2308,2292
2444,2200
2588,2112
2620,1388
2504,1180
2352,928
2116,1008
2264,796
1904,892
1756,780
1660,592
1648,232
1652,284
1464,496
1336,532
1484,940
1400,1216
1664,1480
1436,1332
1208,1432
1392,1620
1240,1756
1048,612
1192,852
548,596
700,736
588,360
400,412
592,1004
680,1408
376,1228
496,1608
1104,2228
468,2592
412,2660
3428,524
3040,528
2948,324
2984,408
2680,196
2708,728
2188,240
2216,392
1736,404
1732,512
1288,168
780,188
760,272
784,512
604,548
2200,964
3280,1204
3648,1564
3616,1936
2776,1224
3124,1360
3352,1576
3528,1752
3440,1828
2464,1588
2368,1684
2588,1828
2576,1924
2796,1984
2996,2224
3376,2088
2524,2276
2044,1056
2084,1540
2208,1692
2220,1780
1612,1368
1124,1384
1084,1108
808,1112
708,1156
924,1500
884,1728
1100,2040
2164,2012
2304,2092
1956,2080
2096,1684
2036,1832
1788,1840
1960,2308
1648,2304
1812,2592
1244,2352
3300,2592
2928,2776
616,1692
772,2208
1184,2288
1228,2436
932,2800
468,1644
396,1872
596,2000
532,2100
3504,252
3204,356
2984,248
2888,272
2804,308
2712,328
2616,352
2516,372
2352,428
2248,452
2140,468
2036,492
1924,516
1820,540
1704,564
2000,360
876,580
724,904
3460,456
3620,1072
3204,1000
2932,752
2960,1288
2708,1028
2324,784
2276,940
2372,1072
2500,1348
3464,1416
3584,1532
3500,1548
3064,1500
3452,1736
2868,2084
2732,2452
1616,2684
1320,2752
1144,2728
736,2708
1020,2480
1952,2264
1964,2504
716,2044
1872,2136
1452,2224
1432,2124
2036,1968
744,1584
1256,1136
1708,916
2172,1216
820,1044
2084,192
1608,284
1144,368
3296,1752
1284,1644
428,1344
